just	-0.8941227662146345	18/7858	336/79179	0.0023	0.0042
will	-0.9015010116318813	4/7858	140/79179	0.0005	0.0018
think	-0.9147801689579264	3/7858	126/79179	0.0004	0.0016
get	-0.941416986223809	8/7858	208/79179	0.001	0.0026
you_can	-0.9959864724205466	3/7858	140/79179	0.0004	0.0018
a	-1.211267347689209	76/7858	1152/79179	0.0097	0.0145
*	-1.2554661007197545	0/7858	134/79179	0.0	0.0017
if_you	-1.2727966556280372	7/7858	263/79179	0.0009	0.0033
?	-1.292516144409087	0/7858	142/79179	0.0	0.0018
or	-1.3455137465254243	5/7858	247/79179	0.0006	0.0031
you	-1.3903870144462047	215/7858	2852/79179	0.0274	0.036
is	-1.5966478333264713	45/7858	902/79179	0.0057	0.0114
